Log_ID,Source,Timestamp,Reference_Timestamp,Skew_Seconds,Resource_ID,Log_Level,Message
LOG-0195,syslog,1970-01-01T00:00:00Z,2026-01-05T15:16:00Z,-88.0,az-vm-183,DEBUG,Backup completed successfully
LOG-0196,azure_monitor,2026-03-05 03:53:17,2026-03-05T03:54:00Z,-42.2,aws-ec2-093,WARN,Failed to resolve DNS for endpoint
LOG-0197,cloudwatch,2026-02-04T18:56:25Z,2026-02-04T18:57:00Z,-34.5,aws-ec2-093,DEBUG,Disk utilization exceeded 90%
LOG-0198,cloudwatch,2026-02-01T15:44:19Z,2026-02-01T15:43:00Z,79.7,aws-ec2-055,ERROR,Health check passed successfully
LOG-0199,gcp_logging,2026/01/04 02:29,2026-01-04T02:29:00Z,19.1,aws-ec2-003,ERROR,Connection timeout after 30s
LOG-0200,cloudwatch,2026-03-25 19:26:16,2026-03-25T19:28:00Z,-103.9,az-vm-145,ERROR,Connection timeout after 30s
LOG-0201,syslog,2026-01-10T17:36:36+00:00,2026-01-10T17:38:00Z,-83.9,aws-ec2-084,DEBUG,Memory allocation failure on node
LOG-0202,syslog,06-02-2026 20:47:18,2026-02-06T20:48:00Z,-41.5,az-vm-159,WARN,Rate limit exceeded for API endpoint
LOG-0203,syslog,2026-03-27T03:54:11+01:00,2026-03-27T03:53:00Z,72.0,gcp-inst-217,INFO,Memory allocation failure on node
LOG-0204,syslog,2026/02/17 19:09,2026-02-17T19:11:00Z,-85.6,aws-ec2-080,DEBUG,Failed to resolve DNS for endpoint
LOG-0205,syslog,2026-03-22T20:31:31+00:00,2026-03-22T20:33:00Z,-88.1,az-vm-154,WARN,Failed to resolve DNS for endpoint
LOG-0206,app_log,2026-02-24T09:34:55Z,2026-02-24T09:36:00Z,-64.6,aws-ec2-049,DEBUG,Service restarted after crash
LOG-0207,syslog,2026-02-02T11:16:32+00:00,2026-02-02T11:16:00Z,,az-vm-202,INFO,Disk utilization exceeded 90%
LOG-0208,gcp_logging,2026-02-23T22:20:43+00:00,2026-02-23T22:19:00Z,103.4,aws-ec2-109,WARN,Disk utilization exceeded 90%
LOG-0209,syslog,2026-03-19T08:54:52+00:00,2026-03-19T08:55:00Z,,gcp-inst-245,DEBUG,Memory allocation failure on node
LOG-0210,app_log,2026-03-26T23:37:36Z,2026-03-26T23:38:00Z,-23.7,az-vm-203,ERROR,Disk utilization exceeded 90%
LOG-0211,azure_monitor,2026-01-17T03:58:11Z,2026-01-17T04:00:00Z,-109.0,aws-ec2-075,WARN,Memory allocation failure on node
LOG-0212,cloudwatch,2026-03-22T17:10:13+00:00,2026-03-22T17:12:00Z,-106.2,gcp-inst-228,DEBUG,Backup completed successfully
LOG-0213,cloudwatch,2026-01-03T14:38:17-05:00,2026-01-03T14:37:00Z,77.7,gcp-inst-213,DEBUG,Service restarted after crash
LOG-0214,app_log,2026/03/18 23:34,2026-03-18T23:35:00Z,-55.6,gcp-inst-250,WARN,Connection timeout after 30s
LOG-0215,syslog,2026-03-09 00:27:06,2026-03-09T00:27:00Z,6.4,aws-ec2-060,DEBUG,Service restarted after crash
LOG-0216,azure_monitor,2026-03-24T11:27:02Z,2026-03-24T11:28:00Z,-57.5,gcp-inst-225,WARN,Failed to resolve DNS for endpoint
LOG-0217,syslog,2026-01-29T18:58:50-08:00,2026-01-29T18:58:00Z,50.6,az-vm-200,DEBUG,Rate limit exceeded for API endpoint
LOG-0218,azure_monitor,2026-03-02T05:37:18+00:00,2026-03-02T05:39:00Z,-101.4,gcp-inst-252,INFO,Memory allocation failure on node
LOG-0219,gcp_logging,2026-03-05T09:13:57Z,2026-03-05T09:15:00Z,-62.8,aws-ec2-082,WARN,Failed to resolve DNS for endpoint
LOG-0220,syslog,2026-01-05T02:19:22-08:00,2026-01-05T02:21:00Z,-97.1,az-vm-182,INFO,Failed to resolve DNS for endpoint
LOG-0221,cloudwatch,2026-0204 04:54,2026-02-04T04:54:00Z,1.8,gcp-inst-225,DEBUG,Disk utilization exceeded 90%
LOG-0222,cloudwatch,2026-01-14T19:39:53Z,2026-01-14T19:39:00Z,53.7,aws-ec2-086,INFO,Auto-scaling triggered: adding 2 instances
LOG-0223,cloudwatch,2026-02-16T05:47:26-08:00,2026-02-16T05:46:00Z,86.5,az-vm-172,WARN,Disk utilization exceeded 90%
LOG-0224,syslog,2026-01-26T14:25:00+01:00,2026-01-26T14:26:00Z,-59.2,aws-ec2-088,INFO,Certificate renewal completed
LOG-0225,app_log,2026-02-17T22:46:22Z,2026-02-17T22:48:00Z,-97.8,az-vm-117,WARN,Memory allocation failure on node
LOG-0226,syslog,2026-02-22T13:58:51+05:30,2026-02-22T13:57:00Z,111.1,gcp-inst-265,INFO,Disk utilization exceeded 90%
LOG-0227,cloudwatch,2026/02/13 10:24,2026-02-13T10:25:00Z,-40.3,aws-ec2-078,INFO,Failed to resolve DNS for endpoint
LOG-0228,gcp_logging,2026-0207 13:25,2026-02-07T13:25:00Z,24.1,aws-ec2-005,ERROR,Failed to resolve DNS for endpoint
LOG-0229,syslog,20-03-2026 04:45:38,2026-03-20T04:44:00Z,98.6,az-vm-155,INFO,Connection timeout after 30s
LOG-0230,app_log,2026-03-10T10:24:28+05:30,2026-03-10T10:24:00Z,28.8,gcp-inst-262,ERROR,Failed to resolve DNS for endpoint
LOG-0231,gcp_logging,13-02-2026 20:11:53,2026-02-13T20:10:00Z,113.4,gcp-inst-259,INFO,Connection timeout after 30s
LOG-0232,cloudwatch,2026-02-17T08:39:14Z,2026-02-17T08:40:00Z,-45.1,aws-ec2-003,DEBUG,Rate limit exceeded for API endpoint
LOG-0233,app_log,2026-01-31 23:37:47,2026-01-31T23:37:00Z,47.3,az-vm-120,ERROR,Certificate renewal completed
LOG-0234,syslog,2026-02-06T21:50:08Z,2026-02-06T21:50:00Z,8.7,az-vm-127,INFO,Rate limit exceeded for API endpoint
LOG-0235,syslog,2026-03-08 18:11:43,2026-03-08T18:12:00Z,-16.6,aws-ec2-042,INFO,Connection timeout after 30s
LOG-0236,app_log,24-02-2026 04:31:04,2026-02-24T04:30:00Z,64.7,az-vm-136,DEBUG,Memory allocation failure on node
LOG-0237,azure_monitor,2026-02-26T22:59:27+00:00,2026-02-26T22:59:00Z,27.8,gcp-inst-249,DEBUG,Health check passed successfully
LOG-0238,azure_monitor,2026-0307 16:06,2026-03-07T16:07:00Z,,az-vm-190,INFO,Service restarted after crash
LOG-0239,gcp_logging,2026-0222 03:05,2026-02-22T03:07:00Z,-77.4,az-vm-156,ERROR,Backup completed successfully
LOG-0240,gcp_logging,2026-01-04 04:08:50,2026-01-04T04:09:00Z,-9.4,aws-ec2-111,WARN,Backup completed successfully
LOG-0241,gcp_logging,2026/01/01 03:36,2026-01-01T03:35:00Z,112.2,az-vm-173,DEBUG,Backup completed successfully
LOG-0242,azure_monitor,2026-03-19 04:49:38,2026-03-19T04:48:00Z,98.2,az-vm-167,INFO,Service restarted after crash
LOG-0243,syslog,27-03-2026 19:27:54,2026-03-27T19:26:00Z,114.0,aws-ec2-046,WARN,Connection timeout after 30s
LOG-0244,app_log,2026-03-15T20:49:37+01:00,2026-03-15T20:50:00Z,-22.9,gcp-inst-278,INFO,Service restarted after crash
LOG-0245,app_log,2026-03-08T06:46:06+05:30,2026-03-08T06:48:00Z,-113.8,az-vm-141,WARN,Auto-scaling triggered: adding 2 instances
LOG-0246,cloudwatch,2026-03-16T14:05:12Z,2026-03-16T14:05:00Z,12.8,aws-ec2-012,ERROR,Memory allocation failure on node
LOG-0247,cloudwatch,2026-0124 13:00,2026-01-24T13:01:00Z,-21.9,gcp-inst-278,WARN,Certificate renewal completed
LOG-0248,azure_monitor,2026-01-19T05:15:18-08:00,2026-01-19T05:16:00Z,-41.5,aws-ec2-093,INFO,Connection timeout after 30s
LOG-0249,cloudwatch,2026-02-08T12:07:24+00:00,2026-02-08T12:06:00Z,84.8,az-vm-122,DEBUG,Failed to resolve DNS for endpoint
LOG-0250,cloudwatch,2026-03-06T12:08:19Z,2026-03-06T12:07:00Z,79.1,az-vm-120,INFO,Certificate renewal completed
LOG-0251,syslog,2026-03-12T18:41:14Z,2026-03-12T18:43:00Z,-105.8,gcp-inst-257,WARN,Health check passed successfully
LOG-0252,app_log,2026-02-17T17:10:04Z,2026-02-17T17:10:00Z,4.5,aws-ec2-001,DEBUG,Service restarted after crash
LOG-0253,gcp_logging,2026-02-07 20:11:56,2026-02-07T20:10:00Z,116.0,az-vm-195,ERROR,Auto-scaling triggered: adding 2 instances
LOG-0254,syslog,2026/03/16 16:16,2026-03-16T16:18:00Z,-104.4,aws-ec2-072,ERROR,Memory allocation failure on node
LOG-0255,gcp_logging,2026/01/27 19:31,2026-01-27T19:32:00Z,-21.8,gcp-inst-232,ERROR,Auto-scaling triggered: adding 2 instances
LOG-0256,azure_monitor,2026/03/26 10:22,2026-03-26T10:21:00Z,,aws-ec2-002,DEBUG,Connection timeout after 30s
LOG-0257,app_log,2026-01-02T21:12:53+05:30,2026-01-02T21:11:00Z,113.7,gcp-inst-276,INFO,Backup completed successfully
LOG-0258,syslog,2026-03-28T03:21:45+05:30,2026-03-28T03:22:00Z,-14.8,aws-ec2-064,DEBUG,Rate limit exceeded for API endpoint
LOG-0259,gcp_logging,2026-01-25T14:01:01+01:00,2026-01-25T14:00:00Z,61.2,az-vm-156,WARN,Auto-scaling triggered: adding 2 instances
LOG-0260,syslog,2026-03-05T11:00:05-08:00,2026-03-05T11:02:00Z,,gcp-inst-257,DEBUG,Health check passed successfully
LOG-0261,azure_monitor,2026-03-12T06:42:20+00:00,2026-03-12T06:42:00Z,20.7,aws-ec2-034,WARN,Certificate renewal completed
LOG-0262,cloudwatch,2026-0314 07:56,2026-03-14T07:56:00Z,33.9,gcp-inst-273,ERROR,Failed to resolve DNS for endpoint
LOG-0263,gcp_logging,2026-02-28T00:27:53Z,2026-02-28T00:27:00Z,53.2,gcp-inst-209,ERROR,Disk utilization exceeded 90%
LOG-0264,azure_monitor,2099-12-31T23:59:59Z,2026-03-29T16:29:00Z,-91.0,gcp-inst-216,DEBUG,Rate limit exceeded for API endpoint
LOG-0265,azure_monitor,2026-0101 12:10,2026-01-01T12:12:00Z,-112.8,gcp-inst-217,INFO,Auto-scaling triggered: adding 2 instances
LOG-0266,syslog,2026-01-26 05:19:22,2026-01-26T05:21:00Z,,az-vm-172,ERROR,Auto-scaling triggered: adding 2 instances
LOG-0267,app_log,14-01-2026 15:15:39,2026-01-14T15:15:00Z,39.9,aws-ec2-038,DEBUG,Disk utilization exceeded 90%
LOG-0268,cloudwatch,22-03-2026 14:35:01,2026-03-22T14:37:00Z,-118.5,aws-ec2-032,DEBUG,Connection timeout after 30s
LOG-0269,gcp_logging,2026-02-08 19:38:53,2026-02-08T19:40:00Z,-66.1,gcp-inst-206,INFO,Service restarted after crash
LOG-0270,syslog,2026-02-22T07:55:19Z,2026-02-22T07:55:00Z,,gcp-inst-220,INFO,Rate limit exceeded for API endpoint
LOG-0271,cloudwatch,2026/03/25 21:48,2026-03-25T21:50:00Z,-91.0,aws-ec2-035,WARN,Service restarted after crash
LOG-0272,azure_monitor,17-01-2026 20:33:25,2026-01-17T20:32:00Z,85.3,aws-ec2-031,WARN,Certificate renewal completed
LOG-0273,app_log,16-03-2026 13:32:30,2026-03-16T13:32:00Z,30.5,aws-ec2-076,DEBUG,Certificate renewal completed
LOG-0274,app_log,2026-03-19 10:16:59,2026-03-19T10:18:00Z,-60.5,gcp-inst-287,INFO,Memory allocation failure on node
LOG-0275,azure_monitor,2026/02/14 06:11,2026-02-14T06:12:00Z,-35.8,gcp-inst-240,ERROR,Service restarted after crash
LOG-0276,cloudwatch,2026-03-14T10:37:40Z,2026-03-14T10:39:00Z,-79.7,aws-ec2-002,WARN,Auto-scaling triggered: adding 2 instances
LOG-0277,syslog,2026-03-01T19:14:44+00:00,2026-03-01T19:13:00Z,104.1,aws-ec2-004,ERROR,Connection timeout after 30s
LOG-0278,app_log,2026-0110 11:00,2026-01-10T11:01:00Z,-42.9,az-vm-185,INFO,Connection timeout after 30s
LOG-0279,app_log,2026-01-26T06:16:06+00:00,2026-01-26T06:18:00Z,-113.1,aws-ec2-012,WARN,Certificate renewal completed
LOG-0280,cloudwatch,2026-01-13T00:52:45+00:00,2026-01-13T00:53:00Z,-14.5,az-vm-157,DEBUG,Auto-scaling triggered: adding 2 instances
LOG-0281,cloudwatch,2026-02-17T11:43:31+00:00,2026-02-17T11:42:00Z,91.6,aws-ec2-098,WARN,Failed to resolve DNS for endpoint
LOG-0282,app_log,2026/02/18 22:21,2026-02-18T22:23:00Z,-85.8,gcp-inst-275,ERROR,Health check passed successfully
LOG-0283,app_log,2026-0211 07:02,2026-02-11T07:03:00Z,-26.4,gcp-inst-251,WARN,Disk utilization exceeded 90%
LOG-0284,syslog,2026-03-02T21:40:30-08:00,2026-03-02T21:39:00Z,90.5,gcp-inst-270,DEBUG,Backup completed successfully
LOG-0285,azure_monitor,2026-03-02T08:35:04Z,2026-03-02T08:37:00Z,-115.3,az-vm-121,DEBUG,Auto-scaling triggered: adding 2 instances
LOG-0286,cloudwatch,2026-02-09T13:57:09+05:30,2026-02-09T13:56:00Z,69.4,az-vm-152,DEBUG,Failed to resolve DNS for endpoint
LOG-0287,syslog,2026-02-15T07:38:30Z,2026-02-15T07:37:00Z,90.7,az-vm-189,DEBUG,Rate limit exceeded for API endpoint
LOG-0288,cloudwatch,2026-02-04T11:59:45+01:00,2026-02-04T12:01:00Z,-74.0,gcp-inst-263,INFO,Certificate renewal completed
LOG-0289,gcp_logging,2026-01-30T03:05:57-08:00,2026-01-30T03:07:00Z,-62.3,aws-ec2-098,WARN,Failed to resolve DNS for endpoint
LOG-0290,app_log,03-02-2026 00:50:49,2026-02-03T00:49:00Z,109.3,aws-ec2-007,DEBUG,Failed to resolve DNS for endpoint
LOG-0291,app_log,20-01-2026 12:15:44,2026-01-20T12:14:00Z,104.9,gcp-inst-240,DEBUG,Rate limit exceeded for API endpoint
LOG-0292,syslog,2026-01-11 10:55:46,2026-01-11T10:54:00Z,106.2,aws-ec2-016,ERROR,Health check passed successfully
LOG-0293,gcp_logging,2026-03-15T04:18:01-05:00,2026-03-15T04:19:00Z,-58.8,gcp-inst-218,DEBUG,Failed to resolve DNS for endpoint
LOG-0294,gcp_logging,2026/02/08 10:35,2026-02-08T10:37:00Z,-107.1,az-vm-201,DEBUG,Auto-scaling triggered: adding 2 instances
LOG-0295,syslog,2026/02/20 02:35,2026-02-20T02:34:00Z,88.5,az-vm-156,INFO,Health check passed successfully
LOG-0296,azure_monitor,2026-01-14T21:36:49-05:00,2026-01-14T21:35:00Z,,az-vm-146,WARN,Auto-scaling triggered: adding 2 instances
LOG-0297,syslog,2026-02-07T21:31:56Z,2026-02-07T21:33:00Z,-63.4,aws-ec2-057,WARN,Failed to resolve DNS for endpoint
LOG-0298,azure_monitor,2026-02-23T15:45:02-05:00,2026-02-23T15:47:00Z,-117.3,aws-ec2-082,ERROR,Service restarted after crash
LOG-0299,azure_monitor,2026-01-26T16:44:33Z,2026-01-26T16:45:00Z,,gcp-inst-205,WARN,Failed to resolve DNS for endpoint
LOG-0300,gcp_logging,2026/02/12 18:54,2026-02-12T18:56:00Z,-87.8,gcp-inst-234,ERROR,Certificate renewal completed
LOG-0301,app_log,20-02-2026 19:51:21,2026-02-20T19:52:00Z,-39.0,gcp-inst-235,DEBUG,Health check passed successfully
LOG-0302,azure_monitor,2026-03-31T18:04:03+01:00,2026-03-31T18:06:00Z,-116.7,az-vm-150,INFO,Auto-scaling triggered: adding 2 instances
LOG-0303,cloudwatch,2026-03-05T13:48:59Z,2026-03-05T13:48:00Z,59.4,az-vm-167,DEBUG,Backup completed successfully
LOG-0304,syslog,2026-01-22T08:12:55Z,2026-01-22T08:13:00Z,-4.5,gcp-inst-205,WARN,Memory allocation failure on node
LOG-0305,syslog,2026-01-05T00:17:55Z,2026-01-05T00:16:00Z,115.0,aws-ec2-035,INFO,Failed to resolve DNS for endpoint
LOG-0306,azure_monitor,2026-03-26T07:44:16+05:30,2026-03-26T07:45:00Z,-43.2,aws-ec2-052,WARN,Certificate renewal completed
LOG-0307,azure_monitor,2026-01-16T17:45:55Z,2026-01-16T17:47:00Z,-64.7,aws-ec2-092,WARN,Connection timeout after 30s
LOG-0308,gcp_logging,2026-03-28T17:11:57Z,2026-03-28T17:13:00Z,-62.9,aws-ec2-003,INFO,Memory allocation failure on node
LOG-0309,cloudwatch,2026-0126 07:22,2026-01-26T07:23:00Z,,az-vm-173,WARN,Disk utilization exceeded 90%
LOG-0310,cloudwatch,2026-01-29T03:51:19Z,2026-01-29T03:51:00Z,19.7,aws-ec2-056,ERROR,Rate limit exceeded for API endpoint
LOG-0311,syslog,2026-03-13T20:12:52+00:00,2026-03-13T20:12:00Z,52.1,aws-ec2-055,ERROR,Rate limit exceeded for API endpoint
LOG-0312,azure_monitor,2026-01-23T00:24:01-08:00,2026-01-23T00:25:00Z,-58.6,az-vm-189,INFO,Disk utilization exceeded 90%
LOG-0313,app_log,28-01-2026 13:18:59,2026-01-28T13:19:00Z,-0.1,aws-ec2-088,ERROR,Disk utilization exceeded 90%
LOG-0314,azure_monitor,2026-03-18T10:40:21-08:00,2026-03-18T10:40:00Z,21.3,gcp-inst-247,INFO,Rate limit exceeded for API endpoint
LOG-0315,azure_monitor,2026-01-03T19:57:45Z,2026-01-03T19:58:00Z,-14.1,aws-ec2-007,WARN,Connection timeout after 30s
LOG-0316,cloudwatch,2026-03-20T03:17:34-05:00,2026-03-20T03:19:00Z,-85.7,az-vm-152,WARN,Health check passed successfully
LOG-0317,gcp_logging,2026-02-18T06:42:55-08:00,2026-02-18T06:41:00Z,115.4,aws-ec2-021,DEBUG,Certificate renewal completed
LOG-0318,cloudwatch,2026-0104 07:53,2026-01-04T07:54:00Z,-18.9,az-vm-128,WARN,Service restarted after crash
LOG-0319,cloudwatch,2026-0218 16:18,2026-02-18T16:20:00Z,-97.8,aws-ec2-027,WARN,Auto-scaling triggered: adding 2 instances
LOG-0320,azure_monitor,2026-01-17T02:11:39Z,2026-01-17T02:11:00Z,39.7,gcp-inst-219,DEBUG,Certificate renewal completed
LOG-0321,app_log,2026-01-22T23:10:49Z,2026-01-22T23:12:00Z,-70.6,aws-ec2-104,ERROR,Backup completed successfully
LOG-0322,syslog,11-01-2026 11:26:28,2026-01-11T11:25:00Z,88.2,gcp-inst-247,INFO,Memory allocation failure on node
LOG-0323,app_log,24-02-2026 02:47:36,2026-02-24T02:48:00Z,-24.0,az-vm-132,DEBUG,Backup completed successfully
LOG-0324,syslog,2026-02-09T14:16:23+00:00,2026-02-09T14:18:00Z,-96.4,aws-ec2-003,INFO,Failed to resolve DNS for endpoint
LOG-0325,gcp_logging,2026-02-17T15:25:52Z,2026-02-17T15:25:00Z,52.8,az-vm-158,INFO,Memory allocation failure on node
LOG-0326,gcp_logging,05-01-2026 03:23:19,2026-01-05T03:24:00Z,-40.5,az-vm-179,DEBUG,Rate limit exceeded for API endpoint
LOG-0327,cloudwatch,2026-0331 01:39,2026-03-31T01:41:00Z,-85.4,az-vm-186,INFO,Health check passed successfully
LOG-0328,app_log,2026-0203 19:28,2026-02-03T19:29:00Z,-42.3,aws-ec2-083,INFO,Disk utilization exceeded 90%
LOG-0329,cloudwatch,2026-01-12T20:44:47Z,2026-01-12T20:45:00Z,-12.3,aws-ec2-097,DEBUG,Health check passed successfully
LOG-0330,syslog,24-02-2026 08:45:58,2026-02-24T08:44:00Z,118.1,aws-ec2-046,INFO,Service restarted after crash
LOG-0331,gcp_logging,,2026-02-14T04:17:00Z,51.6,aws-ec2-087,DEBUG,Connection timeout after 30s
LOG-0332,syslog,2026-01-13T02:49:02-08:00,2026-01-13T02:49:00Z,3.0,aws-ec2-096,WARN,Auto-scaling triggered: adding 2 instances
LOG-0333,azure_monitor,2026-03-04T05:31:54+00:00,2026-03-04T05:32:00Z,-5.9,aws-ec2-099,ERROR,Memory allocation failure on node
LOG-0334,gcp_logging,2026-02-26T20:58:44+05:30,2026-02-26T20:58:00Z,44.2,az-vm-142,INFO,Rate limit exceeded for API endpoint
LOG-0335,gcp_logging,04-01-2026 18:13:19,2026-01-04T18:15:00Z,,aws-ec2-004,INFO,Disk utilization exceeded 90%
LOG-0336,syslog,28-01-2026 16:51:36,2026-01-28T16:50:00Z,96.2,gcp-inst-220,ERROR,Rate limit exceeded for API endpoint
LOG-0337,syslog,2026/03/29 10:20,2026-03-29T10:20:00Z,52.9,az-vm-183,ERROR,Disk utilization exceeded 90%
LOG-0338,azure_monitor,NULL,2026-01-01T14:55:00Z,27.0,aws-ec2-063,ERROR,Auto-scaling triggered: adding 2 instances
LOG-0339,azure_monitor,,2026-02-17T14:39:00Z,44.4,az-vm-165,INFO,Rate limit exceeded for API endpoint
LOG-0340,app_log,06-01-2026 23:19:28,2026-01-06T23:20:00Z,-32.0,az-vm-179,DEBUG,Backup completed successfully
LOG-0341,app_log,2026-03-26 22:55:36,2026-03-26T22:57:00Z,-83.1,gcp-inst-259,INFO,Health check passed successfully
LOG-0342,syslog,2026-03-05T02:19:59-05:00,2026-03-05T02:19:00Z,59.6,aws-ec2-060,DEBUG,Failed to resolve DNS for endpoint
LOG-0343,cloudwatch,2026-01-31T07:11:03-08:00,2026-01-31T07:13:00Z,-116.7,az-vm-197,ERROR,Auto-scaling triggered: adding 2 instances
LOG-0344,app_log,2026/02/02 21:30,2026-02-02T21:30:00Z,20.5,gcp-inst-252,INFO,Rate limit exceeded for API endpoint
LOG-0345,syslog,2026/01/29 18:48,2026-01-29T18:49:00Z,-52.2,gcp-inst-224,WARN,Auto-scaling triggered: adding 2 instances
LOG-0346,cloudwatch,2026/02/03 03:16,2026-02-03T03:18:00Z,-65.3,aws-ec2-066,ERROR,Memory allocation failure on node
LOG-0347,syslog,2026-03-15T22:58:24-08:00,2026-03-15T23:00:00Z,-95.4,aws-ec2-065,WARN,Disk utilization exceeded 90%
LOG-0348,gcp_logging,2026-02-20 00:33:37,2026-02-20T00:34:00Z,-22.1,gcp-inst-256,DEBUG,Health check passed successfully
LOG-0349,cloudwatch,2026/03/18 09:09,2026-03-18T09:09:00Z,41.9,az-vm-159,INFO,Certificate renewal completed
LOG-0350,syslog,2026-03-15T15:39:59-08:00,2026-03-15T15:40:00Z,-0.6,aws-ec2-079,WARN,Auto-scaling triggered: adding 2 instances
LOG-0351,syslog,2026-03-31T23:03:33+00:00,2026-03-31T23:03:00Z,33.1,aws-ec2-012,DEBUG,Rate limit exceeded for API endpoint
LOG-0352,app_log,24-02-2026 21:30:30,2026-02-24T21:30:00Z,30.9,az-vm-145,WARN,Failed to resolve DNS for endpoint
LOG-0353,gcp_logging,2026-02-20T03:06:12Z,2026-02-20T03:08:00Z,-107.5,aws-ec2-084,WARN,Backup completed successfully
LOG-0354,azure_monitor,31-03-2026 15:17:25,2026-03-31T15:18:00Z,-34.8,aws-ec2-005,ERROR,Service restarted after crash
LOG-0355,syslog,2026/01/14 21:49,2026-01-14T21:50:00Z,-42.3,aws-ec2-087,INFO,Disk utilization exceeded 90%
LOG-0356,gcp_logging,2026/02/15 15:10,2026-02-15T15:11:00Z,-45.9,aws-ec2-077,DEBUG,Auto-scaling triggered: adding 2 instances
LOG-0357,syslog,05-01-2026 03:13:41,2026-01-05T03:15:00Z,-78.2,aws-ec2-046,DEBUG,Memory allocation failure on node
LOG-0358,syslog,2026/02/05 20:39,2026-02-05T20:41:00Z,-60.7,gcp-inst-261,WARN,Connection timeout after 30s
LOG-0359,azure_monitor,2026-03-17T18:34:18Z,2026-03-17T18:36:00Z,-101.6,gcp-inst-223,ERROR,Service restarted after crash
LOG-0360,cloudwatch,2026-01-17T03:18:05Z,2026-01-17T03:20:00Z,-114.5,gcp-inst-275,DEBUG,Disk utilization exceeded 90%
LOG-0361,azure_monitor,2026-0308 18:34,2026-03-08T18:34:00Z,34.8,aws-ec2-061,WARN,Service restarted after crash
LOG-0362,azure_monitor,2026/03/30 05:00,2026-03-30T05:00:00Z,36.1,aws-ec2-083,INFO,Failed to resolve DNS for endpoint
LOG-0363,app_log,2026-02-02T01:05:00+05:30,2026-02-02T01:05:00Z,0.7,az-vm-128,ERROR,Connection timeout after 30s
LOG-0364,gcp_logging,2026-03-08T09:41:16Z,2026-03-08T09:42:00Z,-43.2,az-vm-181,WARN,Disk utilization exceeded 90%
LOG-0365,app_log,2026/03/26 01:13,2026-03-26T01:15:00Z,-68.5,az-vm-184,ERROR,Health check passed successfully
LOG-0366,azure_monitor,2026-03-21T13:03:31Z,2026-03-21T13:04:00Z,-28.7,aws-ec2-043,ERROR,Memory allocation failure on node
LOG-0367,azure_monitor,30-03-2026 04:35:37,2026-03-30T04:34:00Z,97.8,gcp-inst-262,WARN,Memory allocation failure on node
LOG-0368,cloudwatch,2026-01-20T10:48:58Z,2026-01-20T10:50:00Z,-61.6,gcp-inst-281,DEBUG,Disk utilization exceeded 90%
LOG-0369,azure_monitor,2026-02-12T20:06:20+05:30,2026-02-12T20:05:00Z,80.0,az-vm-194,WARN,Memory allocation failure on node
LOG-0370,syslog,2026-01-14T03:11:45-08:00,2026-01-14T03:11:00Z,45.1,az-vm-145,ERROR,Service restarted after crash
LOG-0371,app_log,2026/01/13 01:08,2026-01-13T01:10:00Z,-105.1,gcp-inst-207,DEBUG,Service restarted after crash
LOG-0372,azure_monitor,2026-01-17T08:00:25Z,2026-01-17T08:00:00Z,25.6,az-vm-137,INFO,Rate limit exceeded for API endpoint
LOG-0373,syslog,2026-02-01T21:39:27Z,2026-02-01T21:38:00Z,87.5,az-vm-142,DEBUG,Failed to resolve DNS for endpoint
LOG-0374,gcp_logging,2026-01-30 09:40:53,2026-01-30T09:40:00Z,53.7,aws-ec2-041,INFO,Auto-scaling triggered: adding 2 instances
LOG-0375,cloudwatch,2026-0112 05:37,2026-01-12T05:36:00Z,104.6,gcp-inst-218,WARN,Backup completed successfully
LOG-0376,syslog,,2026-03-05T16:43:00Z,46.6,aws-ec2-098,INFO,Memory allocation failure on node
LOG-0377,azure_monitor,2026/03/31 17:45,2026-03-31T17:47:00Z,-119.7,gcp-inst-269,WARN,Health check passed successfully
LOG-0378,syslog,2026-01-10T11:51:38+05:30,2026-01-10T11:53:00Z,-81.2,az-vm-174,WARN,Failed to resolve DNS for endpoint
LOG-0379,app_log,2026-01-16T09:17:44Z,2026-01-16T09:19:00Z,-75.9,az-vm-157,INFO,Backup completed successfully
LOG-0380,cloudwatch,,2026-03-21T15:03:00Z,96.9,aws-ec2-096,DEBUG,Rate limit exceeded for API endpoint
LOG-0381,syslog,,2026-01-02T03:27:00Z,-65.1,az-vm-129,WARN,Backup completed successfully
LOG-0382,syslog,2026/02/20 11:20,2026-02-20T11:19:00Z,113.5,gcp-inst-225,WARN,Health check passed successfully
LOG-0383,gcp_logging,1970-01-01T00:00:00Z,2026-02-15T23:27:00Z,-113.0,az-vm-203,DEBUG,Rate limit exceeded for API endpoint
LOG-0384,syslog,2026/01/05 05:43,2026-01-05T05:42:00Z,88.8,aws-ec2-066,ERROR,Memory allocation failure on node
LOG-0385,cloudwatch,06-03-2026 23:59:39,2026-03-06T23:59:00Z,39.1,aws-ec2-065,WARN,Rate limit exceeded for API endpoint
LOG-0386,syslog,2026-0306 00:48,2026-03-06T00:49:00Z,-53.8,aws-ec2-005,DEBUG,Backup completed successfully
LOG-0387,azure_monitor,2026-02-07T09:29:34+05:30,2026-02-07T09:31:00Z,-85.7,az-vm-135,WARN,Memory allocation failure on node
LOG-0388,app_log,2026-01-26T15:44:12+01:00,2026-01-26T15:45:00Z,-47.6,aws-ec2-077,WARN,Disk utilization exceeded 90%
